id,stud_email,stud_name,stud_roll,course_code,feedback_type,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,feedback_score,emp_id,prof_name,added_on
8891,abdul_windsor7638@deavo.com,Abdul Windsor,1801ME51,ME495,3,10,10,10,10,10,10,10,10,10,10,10,1,Adela Penelli,16-11-2021 19:18
5385,aeris_ballard322@famism.biz,Aeris Ballard,1801ME21,ME495,3,10,10,10,10,10,10,10,10,10,10,10,1,Adela Penelli,16-11-2021 19:18
3555,alex_bell7199@ovock.tech,Alex Bell,1901ME38,ME331,1,10,10,10,10,10,10,10,10,10,10,10,1,Adela Penelli,16-11-2021 19:18
9508,alex_ranks5018@ovock.tech,Alex Ranks,1801ME16,ME495,3,10,10,10,10,10,10,10,10,10,10,10,1,Adela Penelli,16-11-2021 19:18
4516,alexia_bennett9261@deons.tech,Alexia Bennett,1901ME06,ME331,1,10,10,10,10,10,10,10,10,10,10,10,1,Adela Penelli,16-11-2021 19:18
8564,allison_walsh1157@dionrab.com,Allison Walsh,1901ME18,ME331,1,10,10,10,10,10,10,10,10,10,10,10,1,Adela Penelli,16-11-2021 19:18
9469,anthony_swan7626@deavo.com,Anthony Swan,1901ME65,ME331,1,10,10,10,10,10,10,10,10,10,10,10,1,Adela Penelli,16-11-2021 19:18
4735,barry_wright7805@cispeto.com,Barry Wright,1801ME56,ME495,3,10,10,10,10,10,10,10,10,10,10,10,1,Adela Penelli,16-11-2021 19:18
4552,beatrice_ring3881@nimogy.biz,Beatrice Ring,1801ME13,ME495,3,10,10,10,10,10,10,10,10,10,10,10,1,Adela Penelli,16-11-2021 19:18
4553,beatrice_ring3881@nimogy.biz,Beatrice Ring,1801ME13,ME495,3,10,10,10,10,10,10,10,10,10,10,10,1,Adela Penelli,16-11-2021 19:18
7496,benny_fox9428@nickia.com,Benny Fox,1901ME63,ME331,1,10,10,10,10,10,10,10,10,10,10,10,1,Adela Penelli,16-11-2021 19:18
2503,benny_quinton965@nanoff.biz,Benny Quinton,1901ME33,ME331,1,10,10,10,10,10,10,10,10,10,10,10,1,Adela Penelli,16-11-2021 19:18
9372,bernadette_nanton6819@atink.com,Bernadette Nanton,1901ME55,ME331,1,10,10,10,10,10,10,10,10,10,10,10,1,Adela Penelli,16-11-2021 19:18
6264,bob_townend4883@famism.biz,Bob Townend,1901ME41,ME331,1,10,10,10,10,10,10,10,10,10,10,10,1,Adela Penelli,16-11-2021 19:18
2649,bryon_jennson75@acrit.org,Bryon Jennson,1901ME27,ME331,1,10,10,10,10,10,10,10,10,10,10,10,1,Adela Penelli,16-11-2021 19:18
6540,cadence_whitehouse754@vetan.org,Cadence Whitehouse,1801ME34,ME495,3,10,10,10,10,10,10,10,10,10,10,10,1,Adela Penelli,16-11-2021 19:18
8248,camellia_tyler3938@sveldo.biz,Camellia Tyler,1801ME54,ME495,3,10,10,10,10,10,10,10,10,10,10,10,1,Adela Penelli,16-11-2021 19:18
