Name,Roll No,dob,prog,department,date_of_join,yjoin,gender,email,aemail,contact,guardian_contact,marked,added_updated
Chris Trent,1811MS10,01-01-2001,MTech,MM,01-01-2001,2018,Male,chris_trent834@gembat.biz,chris_trent6297@twace.org,9876543210,9876543210,1,16-08-2020 05:03
Brad Sloan,1921CS33,01-01-2001,PhD,,01-01-2001,2019,Male,brad_sloan2817@supunk.biz,brad_sloan8131@tonsy.org,9876543210,9876543210,1,16-08-2020 05:03
Sara Lunt,2001CS08,01-01-2001,BTech,CS,01-01-2001,2020,Male,sara_lunt821@womeona.net,sara_lunt1482@qater.org,9876543210,9876543210,1,16-08-2020 05:03
Rick Murray,2001MM07,01-01-2001,BTech,MM,01-01-2001,2020,Male,rick_murray2904@tonsy.org,rick_murray5214@eirey.tech,9876543210,9876543210,1,16-08-2020 05:03
Ethan Mould,2011CE03,01-01-2001,MTech,CE,01-01-2001,2020,Male,ethan_mould6539@corti.com,ethan_mould2509@gembat.biz,9876543210,9876543210,1,16-08-2020 05:03
Tom Jenkins,2011MT08,01-01-2001,MTech,MT,01-01-2001,2020,Male,tom_jenkins4131@zorer.org,tom_jenkins412@twace.org,9876543210,9876543210,1,16-08-2020 05:03
Nina Glynn,2012CH04,01-01-2001,Msc,CH,01-01-2001,2020,Male,nina_glynn3182@corti.com,nina_glynn5734@dionrab.com,9876543210,9876543210,1,16-08-2020 05:03
Carolyn Holmes,2111CS08,01-01-2001,MTech,CS,01-01-2001,2021,Male,carolyn_holmes5554@brety.org,carolyn_holmes5565@extex.org,9876543210,9876543210,1,16-08-2020 05:03
Sienna Price,1801CB01,01-01-2001,BTech,CB,01-01-2001,2018,Male,sienna_price2832@joiniaa.com,sienna_price1899@extex.org,9876543210,9876543210,1,16-08-2020 05:03
Isla White,1801CB03,01-01-2001,BTech,CB,01-01-2001,2018,Male,isla_white467@cispeto.com,isla_white6419@jiman.org,9876543210,9876543210,1,16-08-2020 05:03
Shelby Vinton,1801CB04,01-01-2001,BTech,CB,01-01-2001,2018,Male,shelby_vinton2698@guentu.biz,shelby_vinton321@ovock.tech,9876543210,9876543210,1,16-08-2020 05:03
Henry Wellington,1801CB05,01-01-2001,BTech,CB,01-01-2001,2018,Male,henry_wellington7629@sheye.org,henry_wellington9996@nickia.com,9876543210,9876543210,1,16-08-2020 05:03
Christine Irwin,1801CB07,01-01-2001,BTech,CB,01-01-2001,2018,Male,christine_irwin7802@ubusive.com,christine_irwin8920@ubusive.com,9876543210,9876543210,1,16-08-2020 05:03
Marla Phillips,1801CB09,01-01-2001,BTech,CB,01-01-2001,2018,Male,marla_phillips6008@guentu.biz,marla_phillips8657@elnee.tech,9876543210,9876543210,1,16-08-2020 05:03
Hank Trent,1801CB10,01-01-2001,BTech,CB,01-01-2001,2018,Male,hank_trent9430@bungar.biz,hank_trent7749@nimogy.biz,9876543210,9876543210,1,16-08-2020 05:03
Eduardo Saunders,1801CB11,01-01-2001,BTech,CB,01-01-2001,2018,Male,eduardo_saunders1690@joiniaa.com,eduardo_saunders9817@extex.org,9876543210,9876543210,1,16-08-2020 05:03
Helen Donnelly,1801CB12,01-01-2001,BTech,CB,01-01-2001,2018,Male,helen_donnelly6249@tonsy.org,helen_donnelly3104@jiman.org,9876543210,9876543210,1,16-08-2020 05:03
George Pope,1801CB14,01-01-2001,BTech,CB,01-01-2001,2018,Male,george_pope1739@bauros.biz,george_pope9385@bauros.biz,9876543210,9876543210,1,16-08-2020 05:03
Tom Lane,1801CB15,01-01-2001,BTech,CB,01-01-2001,2018,Male,tom_lane94@nanoff.biz,tom_lane5193@irrepsy.com,9876543210,9876543210,1,16-08-2020 05:03
Ellen Mitchell,1801CB16,01-01-2001,BTech,CB,01-01-2001,2018,Male,ellen_mitchell8482@liret.org,ellen_mitchell9896@womeona.net,9876543210,9876543210,1,16-08-2020 05:03
Goldie Hunter,1801CB17,01-01-2001,BTech,CB,01-01-2001,2018,Male,goldie_hunter9183@bulaffy.com,goldie_hunter3426@gmail.com,9876543210,9876543210,1,16-08-2020 05:03
Morgan Williams,1801CB18,01-01-2001,BTech,CB,01-01-2001,2018,Male,morgan_williams6930@grannar.com,morgan_williams1705@zorer.org,9876543210,9876543210,1,16-08-2020 05:03
Phoebe Whitmore,1801CB19,01-01-2001,BTech,CB,01-01-2001,2018,Male,phoebe_whitmore1816@hourpy.biz,phoebe_whitmore9317@twipet.com,9876543210,9876543210,1,16-08-2020 05:03
Jamie Redwood,1801CB20,01-01-2001,BTech,CB,01-01-2001,2018,Male,jamie_redwood2429@irrepsy.com,jamie_redwood5185@qater.org,9876543210,9876543210,1,16-08-2020 05:03
Tess Evans,1801CB21,01-01-2001,BTech,CB,01-01-2001,2018,Male,tess_evans9652@ubusive.com,tess_evans7362@hourpy.biz,9876543210,9876543210,1,16-08-2020 05:03
Esmeralda Oldfield,1801CB22,01-01-2001,BTech,CB,01-01-2001,2018,Male,esmeralda_oldfield8393@mafthy.com,esmeralda_oldfield3905@gmail.com,9876543210,9876543210,1,16-08-2020 05:03
Johnathan Hope,1801CB23,01-01-2001,BTech,CB,01-01-2001,2018,Male,johnathan_hope6109@acrit.org,johnathan_hope5977@eirey.tech,9876543210,9876543210,1,16-08-2020 05:03
Tyler Paterson,1801CB24,01-01-2001,BTech,CB,01-01-2001,2018,Male,tyler_paterson3883@famism.biz,tyler_paterson2461@irrepsy.com,9876543210,9876543210,1,16-08-2020 05:03
Russel Flynn,1801CB25,01-01-2001,BTech,CB,01-01-2001,2018,Male,russel_flynn4479@hourpy.biz,russel_flynn5257@sheye.org,9876543210,9876543210,1,16-08-2020 05:03
Maxwell Garcia,1801CB27,01-01-2001,BTech,CB,01-01-2001,2018,Male,maxwell_garcia2346@elnee.tech,maxwell_garcia463@deavo.com,9876543210,9876543210,1,16-08-2020 05:03
Evie Vince,1801CB28,01-01-2001,BTech,CB,01-01-2001,2018,Male,evie_vince2404@grannar.com,evie_vince9104@qater.org,9876543210,9876543210,1,16-08-2020 05:03
Felicity Sherry,1801CB30,01-01-2001,BTech,CB,01-01-2001,2018,Male,felicity_sherry1136@bungar.biz,felicity_sherry5867@supunk.biz,9876543210,9876543210,1,16-08-2020 05:03
David Norton,1801CE01,01-01-2001,BTech,CE,01-01-2001,2018,Male,david_norton2628@corti.com,david_norton3640@sheye.org,9876543210,9876543210,1,16-08-2020 05:03
Ryan Evans,1801CE02,01-01-2001,BTech,CE,01-01-2001,2018,Male,ryan_evans7719@zorer.org,ryan_evans5991@famism.biz,9876543210,9876543210,1,16-08-2020 05:03
Maribel Lindop,1801CE03,01-01-2001,BTech,CE,01-01-2001,2018,Male,maribel_lindop9145@grannar.com,maribel_lindop5372@typill.biz,9876543210,9876543210,1,16-08-2020 05:03
Anais Jordan,1801CE04,01-01-2001,BTech,CE,01-01-2001,2018,Male,anais_jordan5165@ubusive.com,anais_jordan6198@acrit.org,9876543210,9876543210,1,16-08-2020 05:03
Bart Denton,1801CE05,01-01-2001,BTech,CE,01-01-2001,2018,Male,bart_denton9031@bungar.biz,bart_denton3840@kideod.biz,9876543210,9876543210,1,16-08-2020 05:03
Chester Howard,1801CE06,01-01-2001,BTech,CE,01-01-2001,2018,Male,chester_howard9439@nimogy.biz,chester_howard9432@grannar.com,9876543210,9876543210,1,16-08-2020 05:03
Louise Ebbs,1801CE07,01-01-2001,BTech,CE,01-01-2001,2018,Male,louise_ebbs6764@bretoux.com,louise_ebbs8024@bretoux.com,9876543210,9876543210,1,16-08-2020 05:03
Zara Clifford,1801CE08,01-01-2001,BTech,CE,01-01-2001,2018,Male,zara_clifford3692@famism.biz,zara_clifford5710@sveldo.biz,9876543210,9876543210,1,16-08-2020 05:03
Tyson Alexander,1801CE09,01-01-2001,BTech,CE,01-01-2001,2018,Male,tyson_alexander1547@bauros.biz,tyson_alexander4225@mafthy.com,9876543210,9876543210,1,16-08-2020 05:03
Makenzie Kerr,1801CE10,01-01-2001,BTech,CE,01-01-2001,2018,Male,makenzie_kerr9257@gembat.biz,makenzie_kerr5924@joiniaa.com,9876543210,9876543210,1,16-08-2020 05:03
Taylor Cobb,1801CE13,01-01-2001,BTech,CE,01-01-2001,2018,Male,taylor_cobb8693@mafthy.com,taylor_cobb2692@vetan.org,9876543210,9876543210,1,16-08-2020 05:03
Angel Thomson,1801CE14,01-01-2001,BTech,CE,01-01-2001,2018,Male,angel_thomson242@typill.biz,angel_thomson511@acrit.org,9876543210,9876543210,1,16-08-2020 05:03
Tony Buckley,1801CE15,01-01-2001,BTech,CE,01-01-2001,2018,Male,tony_buckley8894@typill.biz,tony_buckley3387@bretoux.com,9876543210,9876543210,1,16-08-2020 05:03
Wade Irwin,1801CE16,01-01-2001,BTech,CE,01-01-2001,2018,Male,wade_irwin9378@womeona.net,wade_irwin9528@supunk.biz,9876543210,9876543210,1,16-08-2020 05:03
Trisha Osman,1801CE17,01-01-2001,BTech,CE,01-01-2001,2018,Male,trisha_osman962@gembat.biz,trisha_osman8954@typill.biz,9876543210,9876543210,1,16-08-2020 05:03
Peyton Morris,1801CE18,01-01-2001,BTech,CE,01-01-2001,2018,Male,peyton_morris4555@bretoux.com,peyton_morris5102@joiniaa.com,9876543210,9876543210,1,16-08-2020 05:03
Noah Lyon,1801CE19,01-01-2001,BTech,CE,01-01-2001,2018,Male,noah_lyon9267@gmail.com,noah_lyon2423@bauros.biz,9876543210,9876543210,1,16-08-2020 05:03
Bryon Murray,1801CE20,01-01-2001,BTech,CE,01-01-2001,2018,Male,bryon_murray4022@eirey.tech,bryon_murray1005@deavo.com,9876543210,9876543210,1,16-08-2020 05:03
Macy Wooldridge,1801CE21,01-01-2001,BTech,CE,01-01-2001,2018,Male,macy_wooldridge732@bretoux.com,macy_wooldridge2048@corti.com,9876543210,9876543210,1,16-08-2020 05:03
Dasha Brooks,1801CE22,01-01-2001,BTech,CE,01-01-2001,2018,Male,dasha_brooks6072@atink.com,dasha_brooks5356@bungar.biz,9876543210,9876543210,1,16-08-2020 05:03
William Poole,1801CE24,01-01-2001,BTech,CE,01-01-2001,2018,Male,william_poole5110@hourpy.biz,william_poole8929@infotech44.tech,9876543210,9876543210,1,16-08-2020 05:03
Evelynn Jacobs,1801CE25,01-01-2001,BTech,CE,01-01-2001,2018,Male,evelynn_jacobs1494@deavo.com,evelynn_jacobs6496@infotech44.tech,9876543210,9876543210,1,16-08-2020 05:03
Fred Powell,1801CE26,01-01-2001,BTech,CE,01-01-2001,2018,Male,fred_powell9562@naiker.biz,fred_powell1010@nickia.com,9876543210,9876543210,1,16-08-2020 05:03
Benny Richards,1801CE27,01-01-2001,BTech,CE,01-01-2001,2018,Male,benny_richards9856@bretoux.com,benny_richards9302@nickia.com,9876543210,9876543210,1,16-08-2020 05:03
Crystal Talbot,1801CE28,01-01-2001,BTech,CE,01-01-2001,2018,Male,crystal_talbot2159@deavo.com,crystal_talbot8109@fuliss.net,9876543210,9876543210,1,16-08-2020 05:03
Oliver Underhill,1801CE29,01-01-2001,BTech,CE,01-01-2001,2018,Male,oliver_underhill4253@gembat.biz,oliver_underhill7445@qater.org,9876543210,9876543210,1,16-08-2020 05:03
Carter Dixon,1801CE30,01-01-2001,BTech,CE,01-01-2001,2018,Male,carter_dixon6055@grannar.com,carter_dixon5094@typill.biz,9876543210,9876543210,1,16-08-2020 05:03
Fiona Edley,1801CE31,01-01-2001,BTech,CE,01-01-2001,2018,Male,fiona_edley3604@elnee.tech,fiona_edley2650@qater.org,9876543210,9876543210,1,16-08-2020 05:03
Tyler Thomson,1801CE32,01-01-2001,BTech,CE,01-01-2001,2018,Male,tyler_thomson5229@infotech44.tech,tyler_thomson3018@cispeto.com,9876543210,9876543210,1,16-08-2020 05:03
Kamila Archer,1801CS01,01-01-2001,BTech,CS,01-01-2001,2018,Male,kamila_archer40@hourpy.biz,kamila_archer9561@infotech44.tech,9876543210,9876543210,1,16-08-2020 05:03
Gladys Leigh,1801CS02,01-01-2001,BTech,CS,01-01-2001,2018,Male,gladys_leigh5876@acrit.org,gladys_leigh8124@womeona.net,9876543210,9876543210,1,16-08-2020 05:03
Russel Knott,1801CS03,01-01-2001,BTech,CS,01-01-2001,2018,Male,russel_knott7502@elnee.tech,russel_knott8547@kideod.biz,9876543210,9876543210,1,16-08-2020 05:03
Mason Cavanagh,1801CS04,01-01-2001,BTech,CS,01-01-2001,2018,Male,mason_cavanagh2720@grannar.com,mason_cavanagh1554@hourpy.biz,9876543210,9876543210,1,16-08-2020 05:03
Sabina Vincent,1801CS05,01-01-2001,BTech,CS,01-01-2001,2018,Male,sabina_vincent2448@kideod.biz,sabina_vincent3568@dionrab.com,9876543210,9876543210,1,16-08-2020 05:03
Kieth Rossi,1801CS06,01-01-2001,BTech,CS,01-01-2001,2018,Male,kieth_rossi7164@grannar.com,kieth_rossi8510@jiman.org,9876543210,9876543210,1,16-08-2020 05:03
Kendra Larkin,1801CS07,01-01-2001,BTech,CS,01-01-2001,2018,Male,kendra_larkin783@kideod.biz,kendra_larkin3349@typill.biz,9876543210,9876543210,1,16-08-2020 05:03
Leah Rehman,1801CS08,01-01-2001,BTech,CS,01-01-2001,2018,Male,leah_rehman5417@kideod.biz,leah_rehman610@corti.com,9876543210,9876543210,1,16-08-2020 05:03
Henry Roscoe,1801CS09,01-01-2001,BTech,CS,01-01-2001,2018,Male,henry_roscoe2927@typill.biz,henry_roscoe1289@gompie.com,9876543210,9876543210,1,16-08-2020 05:03
Mary Vince,1801CS10,01-01-2001,BTech,CS,01-01-2001,2018,Male,mary_vince9135@kideod.biz,mary_vince4588@joiniaa.com,9876543210,9876543210,1,16-08-2020 05:03
Enoch Pickard,1801CS11,01-01-2001,BTech,CS,01-01-2001,2018,Male,enoch_pickard8676@fuliss.net,enoch_pickard1788@womeona.net,9876543210,9876543210,1,16-08-2020 05:03
Roger Gilbert,1801CS12,01-01-2001,BTech,CS,01-01-2001,2018,Male,roger_gilbert935@hourpy.biz,roger_gilbert175@ovock.tech,9876543210,9876543210,1,16-08-2020 05:03
Carl Rose,1801CS13,01-01-2001,BTech,CS,01-01-2001,2018,Male,carl_rose9957@twipet.com,carl_rose5778@gembat.biz,9876543210,9876543210,1,16-08-2020 05:03
Michaela Overson,1801CS14,01-01-2001,BTech,CS,01-01-2001,2018,Male,michaela_overson7523@brety.org,michaela_overson7015@extex.org,9876543210,9876543210,1,16-08-2020 05:03
Mona Yard,1801CS15,01-01-2001,BTech,CS,01-01-2001,2018,Male,mona_yard9966@zorer.org,mona_yard3982@twace.org,9876543210,9876543210,1,16-08-2020 05:03
Boris Trent,1801CS16,01-01-2001,BTech,CS,01-01-2001,2018,Male,boris_trent4433@guentu.biz,boris_trent9512@irrepsy.com,9876543210,9876543210,1,16-08-2020 05:03
Kaylee Clifford,1801CS17,01-01-2001,BTech,CS,01-01-2001,2018,Male,kaylee_clifford9802@sveldo.biz,kaylee_clifford6039@gembat.biz,9876543210,9876543210,1,16-08-2020 05:03
Margaret Dallas,1801CS18,01-01-2001,BTech,CS,01-01-2001,2018,Male,margaret_dallas1600@guentu.biz,margaret_dallas2137@grannar.com,9876543210,9876543210,1,16-08-2020 05:03
Rick Rogan,1801CS19,01-01-2001,BTech,CS,01-01-2001,2018,Male,rick_rogan2813@irrepsy.com,rick_rogan5420@famism.biz,9876543210,9876543210,1,16-08-2020 05:03
Zoe Forth,1801CS20,01-01-2001,BTech,CS,01-01-2001,2018,Male,zoe_forth9442@vetan.org,zoe_forth8320@qater.org,9876543210,9876543210,1,16-08-2020 05:03
Zoe James,1801CS21,01-01-2001,BTech,CS,01-01-2001,2018,Male,zoe_james4135@iatim.tech,zoe_james7313@bulaffy.com,9876543210,9876543210,1,16-08-2020 05:03
Analise Rehman,1801CS22,01-01-2001,BTech,CS,01-01-2001,2018,Male,analise_rehman6108@deons.tech,analise_rehman7789@extex.org,9876543210,9876543210,1,16-08-2020 05:03
Sebastian Booth,1801CS23,01-01-2001,BTech,CS,01-01-2001,2018,Male,sebastian_booth9950@tonsy.org,sebastian_booth5695@kideod.biz,9876543210,9876543210,1,16-08-2020 05:03
George Silva,1801CS24,01-01-2001,BTech,CS,01-01-2001,2018,Male,george_silva4050@joiniaa.com,george_silva4169@acrit.org,9876543210,9876543210,1,16-08-2020 05:03
David Murray,1801CS25,01-01-2001,BTech,CS,01-01-2001,2018,Male,david_murray4922@sheye.org,david_murray3614@sveldo.biz,9876543210,9876543210,1,16-08-2020 05:03
